"StartDate","COMP100_Enrollment_Total","COMP108_Enrollment_Total","COMP110_Enrollment_Total","COMP110L_Enrollment_Total","COMP122_Enrollment_Total","COMP122L_Enrollment_Total","COMP182_Enrollment_Total","COMP182L_Enrollment_Total","COMP222_Enrollment_Total","COMP232_Enrollment_Total","COMP282_Enrollment_Total","COMP310_Enrollment_Total","COMP322_Enrollment_Total","COMP322L_Enrollment_Total","COMP380_Enrollment_Total","COMP380L_Enrollment_Total","COMP424_Enrollment_Total","COMP485_Enrollment_Total","COMP499A_Enrollment_Total","COMP499C_Enrollment_Total","COMP105BAS_Enrollment_Total","COMP300_Enrollment_Total","COMP494C_Enrollment_Total","COMP484_Enrollment_Total","COMP494A_Enrollment_Total","COMP494B_Enrollment_Total","COMP484L_Enrollment_Total","COMP450_Enrollment_Total","COMP410_Enrollment_Total","COMP440_Enrollment_Total","COMP480_Enrollment_Total","COMP480L_Enrollment_Total","COMP296FCS_Enrollment_Total","COMP296FCL_Enrollment_Total","COMP196CF_Enrollment_Total","COMP196CFL_Enrollment_Total","COMP196CT_Enrollment_Total","COMP196CTL_Enrollment_Total","COMP429_Enrollment_Total","COMP465_Enrollment_Total","COMP465L_Enrollment_Total","COMP100HON_Enrollment_Total","COMP469_Enrollment_Total","COMP490_Enrollment_Total","COMP490L_Enrollment_Total","CIT101_Enrollment_Total","CIT101L_Enrollment_Total","CIT160_Enrollment_Total","CIT160L_Enrollment_Total","COMP426_Enrollment_Total","COMP491L_Enrollment_Total","COMP256_Enrollment_Total","COMP256L_Enrollment_Total","COMP333_Enrollment_Total","CIT210_Enrollment_Total","CIT210L_Enrollment_Total","CIT270_Enrollment_Total","CIT270L_Enrollment_Total","COMP467_Enrollment_Total","CIT360_Enrollment_Total","CIT480_Enrollment_Total","CIT480L_Enrollment_Total","CIT481_Enrollment_Total","CIT481L_Enrollment_Total","COMP496ALG_Enrollment_Total","CIT196IT_Enrollment_Total","CIT196ITL_Enrollment_Total","CIT496SEC_Enrollment_Total","CIT496SECL_Enrollment_Total"
"19-Jan-2010 12:00:00","511","27","120","121","56","56","64","65","50","53","56","40","41","43","51","51","22","22","0","0","26","56","0","21","0","0","21","35","22","25","28","28","16","16","19","19","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25-May-2010 12:00:00","21","0","13","12","0","0","0","0","0","0","0","0","15","19","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23-Aug-2010 12:00:00","813","60","111","109","59","59","76","76","53","45","58","29","45","53","49","49","0","0","1","0","21","29","0","18","1","0","18","31","0","0","0","0","17","17","0","0","0","0","22","22","22","25","24","8","8","24","24","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24-Jan-2011 12:00:00","700","35","134","134","57","57","72","72","61","33","51","43","46","51","30","30","23","19","0","0","20","46","0","18","0","0","18","38","0","0","0","0","18","18","0","0","0","0","0","0","0","0","0","0","0","21","21","22","22","12","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31-May-2011 12:00:00","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29-Aug-2011 12:00:00","790","59","169","169","85","85","76","76","65","0","67","39","48","50","51","51","0","0","0","0","18","30","0","18","0","0","18","18","22","24","0","0","0","0","0","0","0","0","28","22","22","28","0","15","15","35","35","25","25","0","0","16","16","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23-Jan-2012 12:00:00","592","32","86","86","75","75","56","56","60","0","34","42","47","47","47","47","28","0","0","0","16","28","0","19","0","0","19","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","25","25","28","28","0","15","19","19","32","12","12","8","8","0","0","0","0","0","0","0","0","0","0","0"
"29-May-2012 12:00:00","30","0","12","12","0","0","15","15","0","0","7","0","0","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27-Aug-2012 12:00:00","753","94","138","137","59","59","57","57","62","0","65","32","47","50","48","48","0","0","0","0","15","31","0","0","0","0","0","32","0","27","0","0","0","0","0","0","0","0","31","26","26","26","0","26","26","34","34","30","30","19","0","29","29","35","11","11","11","11","28","11","0","0","0","0","0","0","0","0","0"
"22-Jan-2013 12:00:00","538","36","127","127","63","64","61","61","64","0","47","59","55","60","43","43","33","28","0","0","22","26","0","29","0","0","29","26","28","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","54","54","54","0","24","24","24","36","13","13","13","13","0","8","0","0","0","0","0","0","0","0","0"
"28-May-2013 12:00:00","18","0","25","25","0","0","23","23","0","0","0","0","0","0","20","20","0","0","0","0","0","0","0","24","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26-Aug-2013 12:00:00","1024","102","172","172","102","102","92","92","55","0","61","32","59","61","41","41","0","0","0","0","15","27","0","34","0","0","34","12","0","0","0","0","0","0","0","0","0","0","24","29","29","28","29","52","52","82","82","83","83","0","0","31","31","53","24","24","25","24","25","12","14","14","0","0","0","0","0","0","0"
"21-Jan-2014 12:00:00","610","61","164","164","111","111","115","115","66","0","65","54","71","74","54","54","33","42","0","0","22","26","0","35","0","0","35","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","83","83","83","0","50","29","29","32","30","30","30","28","0","26","0","0","14","14","0","0","0","0","0"
"27-May-2014 12:00:00","21","0","40","40","0","0","0","0","0","0","0","0","0","0","23","23","0","0","0","0","0","0","0","35","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25-Aug-2014 12:00:00","820","116","171","171","130","130","140","139","67","0","85","27","45","46","51","51","25","28","0","0","23","28","0","36","0","0","36","0","0","0","0","0","0","0","0","0","0","0","26","30","30","29","0","50","63","103","102","86","86","0","0","30","30","57","32","32","28","25","13","30","39","39","0","0","0","0","0","0","0"
"20-Jan-2015 12:00:00","653","74","187","187","117","116","127","126","80","0","61","31","72","77","53","53","33","55","0","0","15","27","0","41","0","0","41","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","52","13","0","67","67","88","88","0","62","31","31","67","44","44","42","40","0","25","15","15","39","39","28","0","0","0","0"
"26-May-2015 12:00:00","28","0","41","41","0","0","29","29","0","0","0","23","0","0","25","25","21","0","0","0","0","0","0","29","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24-Aug-2015 12:00:00","742","101","191","191","119","119","103","103","94","0","124","70","58","58","54","53","50","31","0","0","14","29","0","53","0","0","53","0","0","0","0","0","0","0","0","0","0","0","30","25","25","29","0","78","77","110","109","96","96","0","0","31","31","59","47","47","54","53","19","37","45","45","15","15","31","0","0","0","0"
"25-Jan-2016 12:00:00","659","56","223","223","145","145","162","162","73","0","86","37","89","92","80","80","59","56","0","0","15","32","0","68","0","0","68","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","70","78","78","0","78","29","29","67","51","51","47","51","0","38","0","0","47","47","29","0","0","0","0"
